"time run Run #11"
4405.43
4206.21
6624.78
6434.35
5431.82
5301.27
4626.22
6280.91
5352.74
5808.49
4008.68
4298.46
5878.22
4019.90
4858.88
3113.46
5040.13
5904.24
4497.06
5296.68
5775.67
4347.69
2410.70
7444.90
4871.38
6198.23
4373.61
5548.18
4713.85
5529.39
5957.48
5490.30
6626.47
4609.01
4325.38
6480.95
5026.39
5234.49
6432.00
3882.00
5699.67
4514.86
4247.36
6261.29
5658.61
6604.41
5134.80
5026.91
5755.17
4632.28
